package_type,distance_km,weight_kg,urgency,transport_mode,route_duration_hours,eta_hours,dataset_type
Documents,78.57,7.61,High,Van,1.82,2.31,synthetic
Pharmaceutical,301.09,117.25,Medium,Truck,5.67,6.13,synthetic
Apparel,86.1,30.56,High,Van,2.21,2.4,synthetic
Pharmaceutical,40.08,18.3,High,Van,0.97,1.16,synthetic
Food,85.37,13.33,Low,Van,2.3,2.68,synthetic
Apparel,185.43,28.85,Critical,Van,4.97,3.83,synthetic
Other,266.75,0.99,Medium,Truck,5.86,5.93,synthetic
Industrial,64.95,7.37,Low,Van,1.72,2.43,synthetic
Fragile,78.67,12.92,Medium,Van,1.86,2.45,synthetic
Food,99.06,101.78,Medium,Truck,2.3,2.45,synthetic
Electronics,112.83,10.16,Critical,Van,2.59,1.7,synthetic
Industrial,51.32,10.73,Low,Van,1.12,2.03,synthetic
Other,215.24,3.48,High,Truck,4.62,3.89,synthetic
Documents,148.35,12.88,Critical,Van,3.61,2.87,synthetic
Food,108.41,41.83,Low,Van,2.41,2.72,synthetic
Industrial,146.25,27.53,Medium,Van,3.46,3.92,synthetic
Food,211.05,138.74,Low,Truck,4.39,5.13,synthetic
Documents,104.57,17.83,Medium,Van,2.46,2.31,synthetic
Food,238.29,44.69,Low,Air,0.42,0.64,synthetic
Fragile,170.02,13.68,High,Van,3.69,3.58,synthetic
Other,67.81,84.35,Low,Truck,1.43,2.13,synthetic
Fragile,628.94,50.64,Medium,Truck,11.96,14.77,synthetic
Apparel,177.74,11.87,Medium,Van,4.79,5.05,synthetic
Other,172.63,5.66,Medium,Van,3.99,3.28,synthetic
Other,129.72,103.45,Medium,Truck,2.64,2.69,synthetic
Food,131.13,73.42,Medium,Van,3.02,3.54,synthetic
Food,693.33,10.59,Medium,Truck,16.08,17.15,synthetic
Apparel,82.59,57.03,Critical,Van,1.83,2.52,synthetic
Electronics,188.23,46.59,High,Van,4.71,4.17,synthetic
Food,605.26,33.12,Critical,Truck,13.03,10.69,synthetic
Industrial,177.22,43.98,High,Van,3.84,3.07,synthetic
Pharmaceutical,188.58,5.96,Medium,Van,4.47,4.51,synthetic
Electronics,241.07,37.55,Medium,Truck,5.47,6.14,synthetic
Apparel,130.64,12.28,Medium,Van,3.39,3.79,synthetic
Other,321.54,27.22,Critical,Truck,6.55,5.11,synthetic
Food,216.95,3.72,Critical,Truck,4.11,3.27,synthetic
Documents,483.29,7.75,High,Truck,9.76,9.13,synthetic
Pharmaceutical,208.31,42.03,Medium,Truck,4.86,5.8,synthetic
Documents,311.31,45.18,Critical,Truck,6.51,5.41,synthetic
Apparel,849.43,13.79,Low,Truck,19.57,23.19,synthetic
Fragile,139.12,35.04,Critical,Van,3.1,2.95,synthetic
Fragile,437.63,22.1,High,Truck,8.47,8.9,synthetic
Electronics,111.5,8.7,High,Van,2.43,2.29,synthetic
Apparel,100.21,7.51,High,Van,2.26,2.2,synthetic
Apparel,291.27,10.82,Medium,Truck,5.62,6.37,synthetic
Apparel,434.0,541.27,Critical,Truck,10.28,9.13,synthetic
Food,85.26,17.64,Medium,Van,2.28,2.42,synthetic
Food,276.47,16.27,Low,Truck,6.13,6.6,synthetic
Industrial,53.61,25.0,Critical,Van,1.25,1.73,synthetic
Pharmaceutical,94.47,8.17,Medium,Van,2.24,1.99,synthetic
Fragile,183.07,19.36,Medium,Van,4.5,5.26,synthetic
Documents,386.29,17.75,Medium,Truck,8.84,9.53,synthetic
Food,315.22,72.06,Medium,Truck,6.06,6.15,synthetic
Documents,169.25,12.01,High,Van,4.26,3.66,synthetic
Electronics,103.98,7.32,High,Bike,4.51,4.92,synthetic
Fragile,254.57,7.5,High,Truck,5.71,5.57,synthetic
Industrial,170.18,9.09,Critical,Van,4.63,3.52,synthetic
Documents,350.66,42.16,High,Bike,14.52,13.45,synthetic
Industrial,87.74,22.35,High,Van,2.13,2.33,synthetic
Documents,215.44,80.89,Medium,Truck,5.16,5.23,synthetic
Apparel,158.15,41.49,Medium,Van,3.55,3.69,synthetic
Pharmaceutical,242.61,7.39,Critical,Truck,4.65,4.32,synthetic
Food,74.09,195.35,Critical,Truck,1.58,1.78,synthetic
Electronics,220.05,40.63,High,Truck,5.12,5.55,synthetic
Food,59.97,40.1,Medium,Truck,1.21,1.69,synthetic
Industrial,1097.47,10.75,Low,Truck,20.71,24.32,synthetic
Fragile,133.71,36.83,Medium,Van,3.25,3.86,synthetic
Pharmaceutical,217.67,60.89,Critical,Van,5.81,5.58,synthetic
Food,148.15,38.3,High,Van,3.63,3.52,synthetic
Food,182.77,1.78,Medium,Van,4.87,5.62,synthetic
Apparel,364.95,9.09,Low,Truck,7.13,8.42,synthetic
Documents,1257.91,61.43,High,Air,1.86,2.25,synthetic
Documents,43.02,19.94,High,Van,1.18,1.02,synthetic
Food,306.32,50.23,Low,Truck,6.94,8.35,synthetic
Electronics,39.23,28.94,High,Van,0.92,1.4,synthetic
Fragile,141.66,41.61,Critical,Van,3.13,3.29,synthetic
Industrial,97.69,58.43,Medium,Van,2.21,2.31,synthetic
Pharmaceutical,32.87,42.73,Critical,Van,0.83,0.74,synthetic
Documents,315.21,4.54,High,Truck,7.05,6.28,synthetic
Documents,397.89,23.35,High,Truck,7.79,6.62,synthetic
Fragile,97.4,6.85,Medium,Truck,2.12,2.7,synthetic
Food,360.01,33.42,High,Truck,7.92,7.54,synthetic
Documents,222.19,16.61,Low,Truck,4.95,5.55,synthetic
Fragile,55.04,5.03,Medium,Van,1.37,1.36,synthetic
Apparel,35.55,3.17,Medium,Bike,1.6,1.53,synthetic
Apparel,400.88,249.03,Low,Truck,8.57,11.26,synthetic
Other,88.87,27.46,Medium,Van,2.33,2.11,synthetic
Documents,363.9,21.27,Medium,Truck,7.81,7.9,synthetic
Industrial,1121.63,16.22,High,Air,2.06,2.19,synthetic
Electronics,136.7,44.49,Medium,Van,3.36,3.59,synthetic
Other,49.92,2.98,Medium,Van,1.32,1.33,synthetic
Food,110.84,10.47,Medium,Van,2.75,3.12,synthetic
Pharmaceutical,133.85,35.18,Critical,Van,3.53,3.28,synthetic
Industrial,210.23,56.73,High,Bike,10.0,9.38,synthetic
Other,168.98,21.63,Medium,Van,4.06,4.76,synthetic
Pharmaceutical,180.99,60.15,Medium,Van,4.22,4.76,synthetic
Electronics,851.88,21.45,Medium,Truck,17.24,18.61,synthetic
Other,367.26,41.8,Medium,Truck,8.18,9.2,synthetic
Documents,341.61,17.5,Medium,Train,5.59,6.17,synthetic
Documents,120.23,24.83,Low,Van,2.97,2.92,synthetic
Apparel,156.08,3.39,Critical,Train,2.28,1.84,synthetic
Fragile,124.04,86.75,Medium,Truck,2.82,3.43,synthetic
Food,376.89,9.47,High,Truck,7.87,7.47,synthetic
Fragile,144.84,58.34,Medium,Van,3.13,3.62,synthetic
Other,53.81,42.51,High,Van,1.44,1.18,synthetic
Fragile,138.93,2.44,High,Van,3.69,4.32,synthetic
Food,187.21,105.74,Critical,Truck,4.42,3.37,synthetic
Electronics,51.07,41.11,Medium,Van,1.12,1.7,synthetic
Food,172.22,37.32,Critical,Van,4.17,3.89,synthetic
Electronics,356.95,22.29,Low,Truck,8.3,10.18,synthetic
Pharmaceutical,486.44,34.48,Critical,Truck,11.26,11.17,synthetic
Electronics,58.81,9.92,High,Van,1.4,0.62,synthetic
Food,123.88,115.87,Low,Truck,2.58,3.52,synthetic
Electronics,157.98,60.94,High,Van,3.82,3.85,synthetic
Food,137.75,3.18,Medium,Van,3.36,3.86,synthetic
Pharmaceutical,112.26,11.57,High,Van,2.51,2.4,synthetic
Pharmaceutical,467.38,123.08,Medium,Truck,9.38,11.34,synthetic
Electronics,181.95,85.99,Medium,Truck,3.57,4.23,synthetic
Other,156.06,50.94,Low,Van,3.84,4.55,synthetic
Industrial,499.17,20.65,High,Truck,9.8,9.16,synthetic
Pharmaceutical,86.47,3.04,Critical,Van,1.97,1.8,synthetic
Fragile,93.19,20.13,Low,Van,2.19,2.67,synthetic
Other,66.67,15.41,Low,Van,1.58,1.78,synthetic
Other,294.05,119.05,Medium,Truck,6.22,6.6,synthetic
Documents,542.42,42.93,Medium,Truck,12.56,13.73,synthetic
Electronics,111.82,4.79,Medium,Van,2.73,2.78,synthetic
Pharmaceutical,47.62,6.0,Medium,Van,1.27,1.37,synthetic
Other,256.39,28.79,High,Truck,6.03,5.88,synthetic
Pharmaceutical,325.31,90.45,Medium,Truck,7.24,8.81,synthetic
Pharmaceutical,167.44,23.2,Low,Air,0.29,0.3,synthetic
Industrial,196.46,29.32,Medium,Van,4.33,4.64,synthetic
Industrial,53.83,29.89,Medium,Van,1.33,1.08,synthetic
Food,74.81,6.78,High,Van,1.98,1.66,synthetic
Food,136.74,8.68,High,Van,3.74,3.94,synthetic
Fragile,101.28,3.48,Medium,Van,2.61,3.44,synthetic
Documents,161.3,55.97,Low,Truck,3.49,4.21,synthetic
Documents,78.39,49.53,Medium,Van,2.0,2.42,synthetic
